,Country,City,Lat,Lang,Temp,Cloud,Wind speed,Humidity,Date
0,CA,Thompson,55.74,-97.86,14.0,5,10.29,61,1586451583
1,RU,Tiksi,71.69,128.87,34.79,100,37.2,86,1586451584
2,GL,Ilulissat,69.22,-51.1,24.8,5,5.82,53,1586451585
3,BR,Arraial do Cabo,-22.97,-42.03,77.0,40,23.04,61,1586451586
4,NZ,Kaitangata,-46.28,169.85,48.0,98,10.13,82,1586451587
5,CO,Santa Marta,11.24,-74.2,89.6,75,8.05,70,1586451413
6,ID,Padang,-0.95,100.35,77.95,98,4.09,77,1586451506
7,ZW,Chegutu,-18.13,30.14,63.88,57,10.8,62,1586451591
8,IS,Olafsvik,64.89,-23.71,35.55,43,5.32,85,1586451592
9,EC,Puerto Ayora,-0.74,-90.35,84.99,90,9.17,83,1586451593
10,NO,Andenes,69.31,16.12,32.0,75,10.29,90,1586451594
11,MU,Bambous Virieux,-20.34,57.76,79.0,40,9.17,74,1586451595
12,GQ,Añisoc,1.87,10.77,75.47,77,1.72,72,1586451596
13,IN,Himatnagar,23.6,72.95,87.8,1,7.76,33,1586451598
14,CA,Yellowknife,62.46,-114.35,21.2,90,14.99,73,1586451489
15,CA,Torbay,47.67,-52.73,39.0,75,11.41,51,1586451600
16,US,Kapaa,22.08,-159.32,69.8,1,6.93,93,1586451601
17,PF,Atuona,-9.8,-139.03,82.56,93,14.79,78,1586451602
18,AU,Byron Bay,-28.65,153.62,66.2,75,6.93,93,1586451592
19,VU,Sola,-13.88,167.55,80.44,54,16.98,81,1586451605
20,ZA,Bredasdorp,-34.53,20.04,71.6,99,12.75,39,1586451606
21,US,Albany,42.6,-73.97,50.0,90,12.75,81,1586451608
22,NZ,Mataura,-46.19,168.86,54.0,96,11.01,87,1586451609
23,CN,Tongchuanshi,35.08,109.09,46.15,90,8.9,58,1586451610
24,ZA,Port Elizabeth,-33.92,25.57,68.0,72,9.17,82,1586451607
25,ZA,Cape Town,-33.93,18.42,70.0,99,10.29,45,1586451613
26,RU,Borogontsy,62.67,131.17,30.7,100,2.59,96,1586451614
27,RU,Ust-Maya,60.42,134.53,29.7,100,2.84,96,1586451615
28,TL,Airai,-8.93,125.41,60.1,22,0.67,70,1586451616
29,NO,Mehamn,71.04,27.85,22.86,100,19.84,93,1586451618
30,NZ,Bluff,-46.6,168.33,54.0,99,11.01,87,1586451619
31,TM,Kaka,37.35,59.61,47.28,66,13.98,47,1586451620
32,PF,Rikitea,-23.12,-134.97,75.88,100,2.89,67,1586451621
33,AR,Ushuaia,-54.8,-68.3,59.0,40,8.16,67,1586451623
34,CL,Punta Arenas,-53.15,-70.92,66.2,75,6.93,62,1586451600
35,AU,New Norfolk,-42.78,147.06,53.6,11,14.99,76,1586451625
36,EC,Manta,-0.95,-80.73,82.4,75,6.93,74,1586451626
37,RU,Khatanga,71.97,102.5,21.29,82,14.27,92,1586451627
38,US,Barrow,71.29,-156.79,-9.4,1,13.87,76,1586451629
39,CK,Avarua,-21.21,-159.78,82.4,90,16.11,94,1586451630
40,CA,Port Alberni,49.24,-124.8,55.99,40,12.75,61,1586451611
41,CL,Lebu,-37.62,-73.65,61.14,52,5.28,63,1586451632
42,BR,Castro,-24.79,-50.01,72.72,17,4.9,32,1586451350
43,MX,Miraflores,19.22,-98.81,84.2,40,4.32,35,1586451634
44,KI,Butaritari,3.07,172.79,83.44,84,12.86,79,1586451635
45,PT,Vila Franca do Campo,37.72,-25.43,64.4,20,10.29,77,1586451637
46,US,Portland,45.52,-122.68,61.0,20,4.0,62,1586451161
47,AU,Busselton,-33.65,115.33,64.99,64,1.01,92,1586451639
48,PH,San Policarpo,12.18,125.51,80.6,92,7.02,75,1586451640
49,RU,Tegul'det,57.31,88.17,28.85,99,6.22,93,1586451641
50,KZ,Sergeevka,53.88,67.42,32.47,26,10.6,83,1586451643
51,ZA,Port Alfred,-33.59,26.89,70.72,56,21.94,75,1586451644
52,RU,Nikolskoye,59.7,30.79,42.8,20,6.71,60,1586451645
53,IR,Salmās,38.2,44.77,44.6,75,4.7,65,1586451647
54,US,Kahului,20.89,-156.47,69.8,40,4.7,94,1586451648
55,AU,Hobart,-42.88,147.33,53.6,5,14.99,76,1586451427
56,MX,Ixtapa,20.7,-105.2,78.8,5,4.61,61,1586451650
57,CA,Athabasca,54.72,-113.29,37.18,100,10.89,78,1586451652
58,BR,Olinda,-8.01,-34.86,87.8,40,8.05,70,1586451653
59,US,Jamestown,42.1,-79.24,43.0,90,16.11,80,1586451654
60,RU,Tevriz,57.51,72.4,26.65,58,5.93,96,1586451655
61,CA,Flin Flon,54.77,-101.86,19.4,5,10.29,52,1586451656
62,GL,Upernavik,72.79,-56.15,16.93,0,7.07,86,1586451658
63,NZ,Ahipara,-35.17,173.17,61.2,73,17.0,77,1586451659
64,ZA,Hermanus,-34.42,19.23,68.0,100,1.99,88,1586451660
65,PH,Kinablangan,7.69,126.55,76.91,11,2.3,82,1586451661
66,NO,Karasjok,69.47,25.51,26.6,90,24.16,58,1586451662
67,BR,Cidreira,-30.18,-50.21,68.88,30,14.29,63,1586451663
68,PT,Ponta do Sol,32.67,-17.1,70.0,40,3.36,83,1586451382
69,IT,Laas,46.62,10.7,78.8,58,9.17,43,1586451666
70,MA,Tiznit Province,29.58,-9.5,66.79,1,5.26,43,1586451667
71,GB,Margate,51.38,1.39,64.0,0,13.87,62,1586451668
72,BR,Ipixuna,-1.76,-48.8,84.2,75,12.75,79,1586451669
73,MY,George Town,5.41,100.34,84.2,20,5.82,79,1586451670
74,CO,Pital,2.27,-75.8,74.75,100,1.97,58,1586451671
75,RU,Kavkazskiy,44.27,42.23,51.01,2,6.71,45,1586451673
76,TZ,Micheweni,-4.97,39.83,84.11,38,13.78,76,1586451674
77,RU,Sebezh,56.3,28.47,40.6,91,8.5,80,1586451675
78,CM,Meïganga,6.52,14.3,70.99,89,3.94,67,1586451676
79,CL,Constitución,-35.33,-72.42,62.78,28,10.47,62,1586451677
80,SJ,Longyearbyen,78.22,15.64,12.2,75,12.75,61,1586451679
81,ES,Cervo,43.67,-7.41,61.0,100,2.33,1,1586451680
82,BR,São Gabriel da Cachoeira,-0.13,-67.09,78.6,97,1.99,89,1586451681
83,PT,Lagoa,39.05,-27.98,62.13,100,7.4,72,1586451682
84,PT,Ribeira Grande,38.52,-28.7,64.4,40,5.82,82,1586451683
85,US,Saint George,37.1,-113.58,52.0,90,2.98,66,1586451440
86,AU,Codrington,-38.27,141.97,58.06,1,12.53,76,1586451685
87,CN,Dalianwan,39.03,121.69,48.0,1,4.47,42,1586451687
88,CA,Norman Wells,65.28,-126.83,21.2,75,16.11,53,1586451688
89,CL,Diego de Almagro,-26.37,-70.05,82.4,0,14.97,19,1586451689
90,US,Hilo,19.73,-155.09,69.01,20,5.82,77,1586451495
91,BR,Tutóia,-2.76,-42.27,89.6,75,13.87,75,1586451691
92,ZA,East London,-33.02,27.91,70.86,19,20.69,78,1586451692
93,US,Scottsbluff,41.87,-103.67,51.8,1,16.11,25,1586451694
94,US,Saint Paul Harbor,57.79,-152.41,33.8,1,11.41,50,1586451695
95,US,Ingham,42.6,-84.38,46.99,75,20.8,55,1586451696
96,CL,Coquimbo,-29.95,-71.34,68.0,75,8.05,64,1586451697
97,AU,Mount Gambier,-37.83,140.77,50.0,8,8.05,93,1586451698
98,CN,Xiaoweizhai,26.19,107.51,59.14,79,3.42,69,1586451699
99,ZA,Richards Bay,-28.78,32.04,70.66,62,16.58,83,1586451701
100,CN,Shitanjing,39.23,106.34,43.23,99,12.91,27,1586451702
101,ES,Salamanca,40.83,-6.0,57.2,75,6.93,93,1586451703
102,GL,Qaanaaq,77.48,-69.36,15.19,100,4.09,85,1586451704
103,TO,Vaini,-21.2,-175.2,75.2,40,11.41,83,1586451706
104,US,Springfield,37.22,-93.3,63.0,1,8.05,40,1586451579
105,NO,Berlevåg,70.86,29.09,23.83,100,21.9,91,1586451708
106,YE,Marzuq,14.4,46.47,73.76,45,6.11,29,1586451709
107,NO,Vardø,70.37,31.11,25.57,100,23.82,91,1586451710
108,CA,La Ronge,55.1,-105.28,17.6,5,5.82,61,1586451711
109,DJ,Djibouti,11.5,42.5,84.2,20,4.7,74,1586451713
110,US,Hamilton,39.18,-84.53,55.0,20,17.22,34,1586451477
111,GL,Aasiaat,68.71,-52.87,25.45,0,13.38,88,1586451715
112,AU,Carnarvon,-24.87,113.63,77.0,85,12.75,83,1586451716
113,CN,Shache,38.42,77.24,61.75,99,15.32,19,1586451717
114,JP,Hasaki,35.73,140.83,45.0,40,11.41,81,1586451718
115,LR,Harper,4.38,-7.72,82.85,99,2.28,71,1586451720
116,RU,Dikson,73.51,80.55,18.63,91,14.67,97,1586451721
117,IN,Darlawn,24.02,92.9,67.42,74,3.22,45,1586451722
118,IN,Jevargi,17.02,76.77,86.94,9,10.09,27,1586451723
119,MU,Grand Gaube,-20.01,57.66,79.0,40,9.17,74,1586451724
120,NA,Lüderitz,-26.65,15.16,73.4,0,12.75,49,1586451725
121,IN,Along,28.17,94.77,63.91,47,5.03,54,1586451726
122,HK,Hong Kong,22.29,114.16,71.01,0,11.41,73,1586451473
123,PA,Los Algarrobos,8.5,-82.43,89.6,20,4.7,55,1586451729
124,CD,Kisangani,0.52,25.2,71.98,100,1.43,83,1586451730
125,ES,Cabra,37.47,-4.44,62.6,100,2.24,72,1586451731
126,ZA,Kruisfontein,-34.0,24.73,65.21,83,4.83,48,1586451487
127,MX,Quechultenango,17.42,-99.22,98.38,19,7.56,12,1586451733
128,NO,Røros,62.57,11.38,32.0,75,16.11,81,1586451735
129,MX,Cabo San Lucas,22.89,-109.91,79.0,75,4.7,69,1586451537
130,SO,Qandala,11.47,49.87,85.28,3,11.43,55,1586451737
131,PE,Pisco,-13.7,-76.22,75.99,49,8.05,30,1586451738
132,UA,Hayvoron,48.34,29.87,57.63,0,4.61,38,1586451739
133,IR,Qorveh,35.17,47.8,42.78,100,9.64,50,1586451740
134,CA,Tuktoyaktuk,69.45,-133.04,-5.8,90,8.05,83,1586451742
135,RU,Igarka,67.47,86.58,17.04,100,15.46,95,1586451743
136,AU,Flinders,-34.58,150.86,64.0,90,11.68,100,1586451744
137,RU,Provideniya,64.38,-173.3,6.4,100,7.76,92,1586451745
138,MR,Atar,20.52,-13.05,101.16,0,14.18,7,1586451746
139,AU,Mildura,-34.2,142.15,55.0,75,2.24,100,1586451747
140,US,Rockland,41.17,-74.05,61.0,90,21.92,87,1586451748
141,PG,Kieta,-6.22,155.63,79.92,86,3.65,78,1586451750
142,NZ,Waipawa,-41.41,175.52,46.4,61,3.36,93,1586451751
143,JP,Nishihara,26.18,127.76,62.6,20,9.17,82,1586451752
144,BR,São João da Barra,-21.64,-41.05,80.6,75,11.41,61,1586451753
145,ZA,Plettenberg Bay,-34.05,23.37,68.5,80,3.65,52,1586451754
146,ID,Trenggalek,-8.05,111.72,76.33,3,1.88,84,1586451755
147,JP,Nagato,34.38,131.2,51.8,20,10.29,57,1586451757
148,FI,Kuusamo,65.97,29.18,28.4,75,12.75,54,1586451758
149,SD,Kutum,14.2,24.67,78.35,64,6.69,13,1586451759
150,PL,Wronki,52.71,16.38,59.0,21,11.41,51,1586451760
151,US,Makakilo City,21.35,-158.09,66.2,1,4.25,100,1586451761
152,PL,Ustka,54.58,16.86,44.51,0,13.44,68,1586451762
153,NO,Beian,63.66,9.57,41.0,40,21.92,80,1586451764
154,PT,Cercal,37.81,-8.67,59.0,94,5.99,92,1586451765
155,MX,Tomatlán,19.93,-105.25,95.61,31,5.86,18,1586451766
156,NO,Lyngseidet,69.58,20.22,28.4,75,17.22,63,1586451767
157,CD,Inongo,-1.95,18.27,75.87,46,2.84,83,1586451768
158,US,Lochearn,39.34,-76.72,71.6,48,27.83,60,1586451770
159,PL,Puławy,51.42,21.97,69.01,29,10.29,18,1586451771
160,CA,Aklavik,68.22,-135.01,5.0,40,2.24,84,1586451772
161,BR,São Félix do Xingu,-6.64,-51.99,86.77,99,2.66,64,1586451773
162,GB,Hastings,50.86,0.57,71.6,0,18.34,59,1586451774
163,CN,Zhangjiakou,40.81,114.88,39.31,71,2.21,51,1586451747
164,TZ,Mwaya,-9.55,33.95,76.89,91,8.03,68,1586451777
165,RU,Ust'-Karsk,52.7,118.81,31.71,0,1.01,71,1586451778
166,LY,Sabha,27.04,14.43,69.93,0,7.87,23,1586451779
167,AU,Yulara,-25.24,130.99,62.6,9,3.36,39,1586451780
168,RU,Pudozh,61.81,36.53,31.87,66,3.65,96,1586451781
169,RU,Zyryanka,65.75,150.85,2.08,0,12.62,91,1586451782
170,AR,San Vicente,-26.62,-54.13,72.43,0,4.97,30,1586451784
171,BR,Jardim,-21.48,-56.14,83.01,0,4.05,38,1586451785
172,AZ,Xaçmaz,41.46,48.81,46.13,1,3.04,60,1586451545
173,PE,Pimentel,-6.84,-79.93,66.2,87,17.22,29,1586451787
174,EC,Cuenca,-2.88,-78.98,60.8,75,2.24,87,1586451568
175,IT,Florence,43.77,11.25,75.2,0,3.36,16,1586451720
176,GR,Perivoli,39.42,20.01,68.0,0,8.05,56,1586451790
177,BR,Camapuã,-19.53,-54.04,81.97,35,3.85,53,1586451791
178,UY,Chui,-33.7,-53.46,66.34,46,13.71,62,1586451793
179,US,Rawlins,41.79,-107.24,44.6,1,10.29,52,1586451794
180,CA,Haileybury,47.45,-79.64,35.6,90,16.11,80,1586451795
181,LK,Eravur,7.77,81.61,79.68,13,6.91,80,1586451796
182,ID,Meulaboh,4.14,96.13,79.43,100,8.99,83,1586451797
183,BR,Exu,-7.51,-39.72,83.43,62,2.17,61,1586451705
184,CA,Pangnirtung,66.15,-65.71,14.0,20,3.31,72,1586451799
185,RU,Cherskiy,68.75,161.3,-12.48,91,7.18,89,1586451801
186,RU,Troitsko-Pechorsk,62.71,56.2,37.06,100,13.62,82,1586451802
187,US,Broome,42.25,-75.83,44.01,90,19.46,86,1586451803
188,GL,Nanortalik,60.14,-45.24,37.31,90,24.79,74,1586451804
189,IS,Grindavik,63.84,-22.43,39.2,75,5.82,75,1586451805
190,US,Cumberland,35.05,-78.87,79.0,1,13.87,64,1586451526
191,ES,Arrecife,28.96,-13.55,75.2,20,14.99,64,1586451807
192,US,Keller,32.93,-97.25,78.01,90,10.29,53,1586451685
193,LK,Hambantota,6.12,81.12,82.76,26,3.22,70,1586451810
194,UA,Izyum,49.21,37.25,54.39,32,1.54,49,1586451811
195,MZ,Montepuez,-13.13,39.0,69.31,37,5.14,83,1586451812
196,CL,Calama,-22.47,-68.93,75.2,20,11.41,25,1586451813
197,NZ,Te Anau,-45.42,167.72,45.84,12,2.64,75,1586451814
