,Country,City,Lat,Lang,Temp,Cloud,Wind speed,Humidity,Date
0,MG,Morondava,-20.28,44.28,25.9,4,6.13,75,1586371046
1,CK,Avarua,-21.21,-159.78,27.0,75,7.7,88,1586371047
2,CA,Norman Wells,65.28,-126.83,-8.0,20,3.6,52,1586370786
3,AO,Caxito,-8.58,13.66,28.0,40,7.2,78,1586371049
4,AU,Hobart,-42.88,147.33,6.67,0,4.1,87,1586371050
5,MY,George Town,5.41,100.34,28.0,40,2.1,83,1586371051
6,US,Jamestown,42.1,-79.24,15.56,20,5.7,66,1586371053
7,NZ,Bluff,-46.6,168.33,10.0,100,6.71,89,1586371054
8,CA,Yellowknife,62.46,-114.35,-5.0,5,5.1,57,1586370774
9,JP,Nago,26.59,127.98,19.0,40,2.1,87,1586371056
10,AR,Ushuaia,-54.8,-68.3,20.0,39,2.6,32,1586371057
11,GL,Nanortalik,60.14,-45.24,1.82,99,6.83,79,1586371058
12,CL,Punta Arenas,-53.15,-70.92,19.0,6,5.7,55,1586370885
13,AU,Busselton,-33.65,115.33,16.11,4,3.72,51,1586370978
14,US,Saint George,37.1,-113.58,21.67,1,2.1,18,1586370925
15,BR,Mineiros,-17.57,-52.55,25.56,56,3.1,61,1586371063
16,RE,Le Port,-20.94,55.29,26.0,51,6.2,69,1586371064
17,MR,Atar,20.52,-13.05,37.58,0,5.11,8,1586370937
18,HK,Hong Kong,22.29,114.16,21.11,20,4.1,64,1586370861
19,NO,Roald,62.58,6.13,6.0,75,11.8,80,1586371067
20,RU,Staryy Nadym,65.61,72.68,-4.7,98,7.04,97,1586371069
21,NZ,Mataura,-46.19,168.86,10.0,100,6.71,89,1586371070
22,US,Bemidji,47.47,-94.88,9.0,40,10.8,42,1586371071
23,BY,Haradok,55.46,29.98,6.84,11,1.93,65,1586371072
24,AU,Nhulunbuy,-12.23,136.77,25.0,40,2.6,88,1586371073
25,PE,Ilo,-17.64,-71.34,23.78,32,2.42,66,1586371074
26,AU,Mount Gambier,-37.83,140.77,9.0,8,2.6,100,1586371075
27,PF,Rikitea,-23.12,-134.97,24.94,51,5.26,81,1586371076
28,EC,Puerto Ayora,-0.74,-90.35,30.0,20,4.1,70,1586371078
29,US,Barrow,71.29,-156.79,-24.0,1,2.6,83,1586370902
30,GR,Íos,36.73,25.28,14.0,17,9.3,58,1586371080
31,US,Portland,45.52,-122.68,15.0,40,3.6,62,1586370897
32,US,Kapaa,22.08,-159.32,23.0,75,2.6,88,1586370992
